Museum,Year,Annual Visitors,Child visits,Overseas visitors,Unique website visits,Facilitated and self directed visits by visitors under 18 years old and in formal education,Number of instances where visitors under 18 years old participated in on-site activites,UK loan venues
British Museum,2008/09,5472056,723592,3228234,10711352,,,152
British Museum,2009/10,5650388,831192,3543265,15034957,,,151
British Museum,2010/11,5869396,850650,3644788,21496815,,,178
British Museum,2011/12,5841658,765017,3504995,23877973,,,162
British Museum,2012/13,5592814,870825,3609800,27298557,250734,116990,169
British Museum,2013/14,6758935,891024,3918341,35252123,262401,144750,187
British Museum,2014/15,6677990,987000,4296000,33736024,271055,142786,170
British Museum,2015/16,6853540,1030082,4413385,32501070,258567,145921,166
British Museum,2016/17,6229028,797391,4084574,30861392,270804,126022,156
British Museum,2017/18,5822515,888467,3652500,37529494,322560,126834,165
Geffrye Museum,2008/09,86499,21021,9000,86499,,,4
Geffrye Museum,2009/10,93365,20872,10874,497925,,,4
Geffrye Museum,2010/11,104691,22493,11508,527082,,,1
Geffrye Museum,2011/12,104889,21192,11718,350630,,,1
Geffrye Museum,2012/13,105486,21717,11728,334597,12352,11980,1
Geffrye Museum,2013/14,113123,21463,15582,352154,10204,9897,10
Geffrye Museum,2014/15,108168,19471,18389,332675,8061,9432,5
Geffrye Museum,2015/16,114190,17724,15986,323763,5763,7232,2
Geffrye Museum,2016/17,121770,18078,24886,313938,7199,7644,2
Geffrye Museum,2017/18,114906,15987,23741,284654,3433,5146,3
Horniman Museum,2008/09,483113,276951,9092,483113,,,12
Horniman Museum,2009/10,621301,323949,12426,252206,,,13
Horniman Museum,2010/11,584974,280883,17549,252867,,,14
Horniman Museum,2011/12,509079,232593,15272,353824,,,22
Horniman Museum,2012/13,616075,293416,24491,457794,29295,29306,21
Horniman Museum,2013/14,698051,294541,27922,525506,33056,34688,24
Horniman Museum,2014/15,750389,310553,37519,618603,34573,40661,22
Horniman Museum,2015/16,793883,,,648215,38235,37878,23
Horniman Museum,2016/17,784928,267000,52000,558000,37000,37000,25
Horniman Museum,2017/18,813195,251000,69000,733000,35000,38000,19
Imperial War Museum,2008/09,2006765,580439,634702,2006765,,,156
Imperial War Museum,2009/10,2079264,599713,729851,10796969,,,92
Imperial War Museum,2010/11,2317639,455876,783533,8587082,,,90
Imperial War Museum,2011/12,2249592,428612,836546,3962384,,,376
Imperial War Museum,2012/13,1990343,528000,727707,3575646,145161,151436,104
Imperial War Museum,2013/14,1876000,513000,691000,4166663,152000,127774,119
Imperial War Museum,2014/15,2813845,721082,957000,5516723,177000,162000,99
Imperial War Museum,2015/16,2538516,528196,999611,5290351,167628,197639,88
Imperial War Museum,2016/17,2415977,513000,925000,6186000,97000,81000,90
Imperial War Museum,2017/18,2465461,509000,1010000,6646000,138000,73000,92
National Gallery,2008/09,4438900,518800,1553600,2685198,,,20
National Gallery,2009/10,4695900,422600,1582600,2725775,,,16
National Gallery,2010/11,5084929,254246,2542462,2607417,,,17
National Gallery,2011/12,5358509,355945,3101807,3841221,,,35
National Gallery,2012/13,5376000,215000,3225000,3490775,132000,16000,32
National Gallery,2013/14,5900000,400000,3600000,3800000,164000,10000,25
National Gallery,2014/15,6534000,500000,4100000,4500000,146000,11000,29
National Gallery,2015/16,5898904,390507,3846085,4740681,108510,9266,23
National Gallery,2016/17,6175234,400000,4000000,4800000,121000,12000,23
National Gallery,2017/18,5050020,500000,3200000,3800000,157000,11000,23
National Museums Liverpool,2008/09,2689889,484180,295888,2689889,,,51
National Museums Liverpool,2009/10,2273612,437779,302390,3338143,,,250
National Museums Liverpool,2010/11,2635993,500839,342679,3176266,,,193
National Museums Liverpool,2011/12,3184995,636999,394939,2060889,,,228
National Museums Liverpool,2012/13,3277303,426069,524368,2077530,166084,241092,239
National Museums Liverpool,2013/14,2710184,433629,433629,1835087,179902,241150,250
National Museums Liverpool,2014/15,2654301,501663,403454,2008068,183289,214019,145
National Museums Liverpool,2015/16,2847987,458525,407261,2166140,163465,207037,150
National Museums Liverpool,2016/17,3033228,518682,421618,2129132,186764,182229,149
National Museums Liverpool,2017/18,3305671,568575,462794,3056167,151094,163608,151
National Portait Gallery,2008/09,1833614,173300,678878,15545994,,,108
National Portait Gallery,2009/10,1984464,156700,712230,13507970,,,165
National Portait Gallery,2010/11,1758488,117600,612112,13724626,,,133
National Portait Gallery,2011/12,2048169,133900,820542,3213737,,,118
National Portait Gallery,2012/13,2054327,161200,923413,3626300,38945,3907,118
National Portait Gallery,2013/14,1988449,144600,802231,4103286,36382,3530,142
National Portait Gallery,2014/15,2081633,158600,783145,4211179,44696,3470,144
National Portait Gallery,2015/16,2102975,153400,853639,4997039,41190,3465,95
National Portait Gallery,2016/17,1879445,156000,834000,4746000,42000,4000,92
National Portait Gallery,2017/18,1691547,146000,718000,3846000,34000,3000,113
Natural History Museum,2008/09,3843310,1131054,1264959,5223157,,,215
